,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
36,Krypton,Kr,,0.0000000,13.99961,24.35984,36.95,52.5,64.7,78.5,111,125.802,230.85,268.2,308,350,391,447,492,541,592,641,786,833,884,937,998,1051,1151,1205.3,2928,3070,3227,3381,3584,3752,3971,4109.083,17296.42,17936.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rubidium,Rb,,0.4859160,4.177128,27.2895,40,52.6,71,84.4,99.2,136,150,277.1,313.1,356,400,443,502,550,601,654,706,857,905.3,958.9,1024,1080,1125,1242.5,1294.567,3133.3,3281,3442,3600,3815,3988,4214,4356.865,18305.883,18965.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Strontium,Sr,,0.0520600,5.69485,11.0301,42.89,57,71.6,90.8,106,122.3,162,177,324.1,362,408,454,499,562,612,665,722,774,932,982.1,1038,1105,1165,1211,1333.4,1387.19,3344.7,3497,3664,3830,4053,4232,4465,4612.397,19345.587,20025.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yttrium,Y,,0.3070000,6.2173,12.224,20.52,60.597,77,93,116,129,146.2,191,206,374,414,463,512,559,624,677,733,790,847,1010,1061.9,1120.2,1190,1253,1300,1427.6,1483.118,3562.9,3720,3892,4060,4299,4484,4724,4875.73,20415.716,21115.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Zirconium,Zr,,0.4270000,6.6339,13.1,22.99,34.34,80.348,96.27,112,133.7,153,172.02,214.9,236.25,426,470,520,573,622,690,745,803,863,922,1092,1144.7,1205.4,1277,1344,1392,1525.1,1582.371,3788,3950,4127,4300,4553,4744,4991,5146.935,21516.469,22236.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Niobium,Nb,,0.8940000,6.75885,14,25.04,38.3,50.55,102.057,125,136,159.2,180,200.28,246.1,268.59,482.5,530,581,636,688,758,816,877,940,1000,1176,1230.6,1293.7,1368,1439,1500,1625.9,1684.969,4020.1,4187,4369,4540,4815,5011,5265,5426.065,22648.045,23388.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Molybdenum,Mo,,0.7473000,7.09243,16.16,27.13,46.4,54.49,68.8276,125.664,143.6,164.12,186.4,209.3,230.28,279.1,302.6,544,570,636,702,767,833,902,968,1020,1082,1263,1323,1387,1449,1535,1601,1730.1,1790.932,4259,4430,4618,4800,5084,5287,5548,5713.194,23810.653,24572.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Technetium,Tc,,0.5500000,7.28,15.26,29.54,41,57,72,88,150,169,189.9,214,239,262.08,311,338.55,604,655,713,773,829,904,968,1032,1102,1166,1354,1411.6,1479.5,1559,1638,1689,1838,1900.28,4505,4681,4874,5060,5361,5570,5838,6008.391,25004.532,25786.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ruthenium,Ru,,1.0760000,7.3605,16.76,28.47,45,59,76,93,110,178.4,198,219.9,245,271,295.9,348,376.25,670,723,784,845,905,981,1048,1115,1187,1253,1447,1506.7,1577,1659,1743,1794,1949,2013.037,4758,4939,5136,5330,5647,5862,6137,6311.72,26229.894,27033.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rhodium,Rh,,1.1428900,7.4589,18.08,31.06,42,63,80,97,115.1,135,207.51,228,252.1,277,306,331.58,389,416,739,794,857,921,984,1061,1131,1202,1274,1344,1544,1604.9,1677.6,1763,1851,1903,2063,2129.224,5018,5203,5406,5600,5940,6161,6444,6623.262,27486.982,28311.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
