,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
54,Xenon,Xe,7.86,-1.47,-6.07,-16.55,-26.55,-37.16,-48.17,-60.42,-79.15,-98.79,-142.91,-190.92,-215.51,-242.01,-268.00,-297.50,-328.50,-358.50,-389.00,-417.00,-489.50,-565.50,-599.00,-633.00,-675.00,-718.00,-777.00,-837.52,-1175.02,-1532.00,-1612.00,-1697.50,-1784.00,-1872.50,-1971.00,-2068.00,-2161.00,-2254.50,-2428.00,-2596.50,-2681.50,-2768.50,-2893.00,-3021.50,-3155.50,-3288.40,-5496.90,-7774.50,-8016.50,-8263.00,-8676.50,-9107.00,-9412.00,-9695.70,-25041.06,-40785.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cesium,Cs,2.34,-2.04,-2.18,-13.53,-28.18,-38.10,-49.50,-62.55,-76.00,-96.50,-117.85,-169.46,-223.15,-247.00,-275.00,-302.50,-334.00,-367.00,-397.50,-429.00,-460.50,-536.50,-613.00,-647.50,-683.00,-726.50,-772.00,-833.00,-895.54,-1254.04,-1632.00,-1714.50,-1802.50,-1892.00,-1982.50,-2083.00,-2183.50,-2279.50,-2375.50,-2552.50,-2725.00,-2813.00,-2902.00,-3031.50,-3166.00,-3303.00,-3438.50,-5737.00,-8106.50,-8354.00,-8605.00,-9038.00,-9489.50,-9801.50,-10091.39,-26034.93,-42387.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Barium,Ba,-2.88,-3.10,-2.68,-7.61,-22.92,-41.44,-52.52,-64.50,-78.50,-93.50,-115.77,-138.53,-193.76,-254.05,-281.55,-310.50,-339.50,-372.00,-406.00,-438.50,-471.50,-504.00,-583.00,-662.50,-698.00,-734.50,-780.50,-827.50,-890.50,-955.80,-1335.80,-1735.50,-1820.00,-1911.00,-2002.50,-2094.50,-2199.00,-2302.50,-2400.50,-2499.50,-2680.50,-2857.50,-2947.50,-3037.50,-3173.50,-3314.50,-3456.50,-3595.00,-5983.00,-8445.50,-8698.00,-8954.00,-9408.00,-9881.00,-10199.50,-10496.21,-27050.89,-44023.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Lanthanum,La,2.11,-0.45,-3.03,-8.32,-15.12,-34.56,-55.78,-67.80,-81.00,-96.50,-112.00,-135.21,-160.10,-221.89,-289.00,-317.50,-348.00,-378.50,-412.00,-447.50,-481.00,-515.50,-549.50,-631.00,-713.50,-750.50,-788.00,-835.50,-885.50,-950.50,-1017.05,-1419.55,-1842.00,-1929.00,-2021.50,-2115.50,-2210.50,-2318.00,-2425.00,-2525.00,-2625.50,-2812.00,-2993.00,-3084.50,-3177.50,-3319.00,-3465.50,-3609.50,-3752.00,-6234.50,-8791.50,-9049.00,-9310.50,-9786.50,-10281.00,-10607.50,-10911.20,-28089.20,-45695.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cerium,Ce,-3.62,-3.63,-3.09,-8.19,-15.52,-28.48,-51.15,-71.58,-84.30,-98.50,-115.50,-132.50,-156.00,-182.12,-252.12,-326.00,-355.50,-387.00,-419.00,-453.50,-490.50,-526.00,-561.00,-596.00,-681.00,-767.00,-804.50,-843.00,-893.00,-944.50,-1012.50,-1081.77,-1505.77,-1951.00,-2040.50,-2136.00,-2232.50,-2329.00,-2439.00,-2550.00,-2653.00,-2756.00,-2946.50,-3131.50,-3225.00,-3320.00,-3468.00,-3621.00,-3768.50,-3914.00,-6491.50,-9144.50,-9407.00,-9674.00,-10172.50,-10691.00,-11025.00,-11334.93,-29150.08,-47403.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Praseodymium,Pr,-2.16,-2.68,-3.22,-8.01,-16.09,-30.30,-48.26,-69.77,-89.50,-104.50,-121.50,-139.50,-155.00,-179.00,-206.51,-283.51,-364.00,-395.00,-428.50,-461.50,-497.00,-535.00,-572.00,-608.50,-645.00,-733.00,-821.50,-860.00,-900.00,-952.50,-1006.50,-1076.00,-1146.97,-1594.47,-2063.50,-2155.00,-2253.00,-2352.00,-2450.50,-2564.50,-2678.50,-2783.50,-2889.50,-3084.00,-3273.00,-3369.00,-3465.50,-3620.50,-3780.50,-3931.00,-4080.00,-6754.00,-9505.00,-9772.50,-10044.00,-10567.00,-11110.50,-11451.50,-11768.45,-30233.80,-49146.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Neodymium,Nd,8.44,-2.18,-2.85,-8.12,-16.41,-31.25,-50.20,-72.00,-91.50,-106.50,-125.00,-144.00,-160.00,-181.50,-208.00,-232.00,-316.00,-404.50,-436.50,-471.00,-505.50,-542.00,-582.00,-620.00,-658.00,-696.00,-786.50,-877.50,-917.50,-958.50,-1013.50,-1070.50,-1141.50,-1214.71,-1686.21,-2179.00,-2272.50,-2373.00,-2475.00,-2576.00,-2692.50,-2809.50,-2917.50,-3026.00,-3224.50,-3418.00,-3516.00,-3614.50,-3776.50,-3944.00,-4097.50,-4250.00,-7022.00,-9872.00,-10145.00,-10421.50,-10969.50,-11539.00,-11888.00,-12211.83,-31340.62,-50927.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Promethium,Pm,12.44,-2.70,-2.86,-8.24,-16.60,-31.70,-51.40,-73.35,-93.00,-108.50,-127.00,-146.50,-164.50,-188.00,-215.50,-238.50,-258.50,-349.50,-446.00,-479.50,-515.50,-551.50,-589.00,-630.00,-670.00,-709.50,-748.50,-841.50,-936.00,-977.00,-1019.00,-1076.50,-1135.50,-1209.50,-1284.85,-1779.85,-2297.50,-2393.50,-2496.00,-2600.50,-2703.50,-2823.50,-2944.50,-3053.50,-3164.50,-3369.00,-3566.00,-3665.50,-3767.00,-3936.00,-4111.00,-4268.50,-4423.50,-7295.50,-10246.50,-10524.50,-10806.50,-11380.50,-11977.50,-12334.00,-12664.63,-32470.78,-52745.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Samarium,Sm,4.03,-2.12,-2.91,-8.36,-17.24,-32.40,-52.03,-76.33,-96.50,-110.50,-129.50,-149.50,-168.50,-193.50,-222.50,-247.00,-266.50,-291.25,-390.25,-490.00,-524.50,-562.00,-599.00,-637.50,-680.00,-722.00,-762.00,-802.00,-899.00,-996.00,-1038.00,-1081.50,-1141.50,-1203.00,-1279.00,-1356.80,-1876.30,-2418.50,-2517.50,-2622.50,-2729.00,-2834.50,-2957.50,-3082.50,-3195.00,-3308.00,-3516.00,-3717.50,-3819.50,-3922.00,-4099.00,-4282.00,-4442.50,-4601.50,-7574.50,-10628.00,-10911.00,-11198.50,-11800.50,-12426.00,-12790.00,-13127.43,-33624.48,-54600.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Europium,Eu,5.25,-3.08,-2.90,-8.46,-18.09,-33.81,-52.85,-75.50,-96.50,-112.50,-132.00,-152.50,-172.00,-198.00,-228.00,-253.00,-272.00,-296.00,-327.70,-431.20,-535.50,-571.50,-610.00,-648.50,-688.00,-732.00,-775.00,-816.50,-858.50,-958.00,-1057.50,-1101.00,-1145.50,-1208.00,-1272.50,-1351.00,-1431.03,-1975.53,-2543.00,-2644.00,-2752.00,-2860.50,-2968.00,-3095.00,-3223.50,-3338.50,-3454.00,-3666.50,-3872.00,-3976.00,-4081.00,-4265.50,-4455.00,-4619.50,-4783.50,-7859.00,-11016.50,-11305.00,-11598.00,-12228.50,-12884.00,-13256.00,-13600.29,-34802.24,-56493.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gadolinium,Gd,5.38,-3.01,-3.15,-9.12,-16.36,-32.32,-54.38,-76.88,-97.50,-114.50,-133.50,-154.50,-174.00,-198.00,-229.50,-257.00,-278.00,-303.50,-335.50,-366.00,-472.50,-583.00,-620.00,-659.50,-699.50,-740.00,-785.50,-830.50,-873.00,-916.00,-1018.50,-1121.00,-1165.50,-1211.00,-1277.00,-1344.50,-1424.50,-1506.68,-2076.68,-2670.50,-2773.50,-2884.00,-2995.50,-3105.00,-3236.00,-3368.00,-3487.00,-3605.00,-3820.00,-4030.00,-4135.50,-4242.50,-4436.00,-4635.50,-4803.50,-4969.50,-8149.00,-11412.50,-11706.50,-12004.00,-12665.00,-13352.00,-13732.00,-14083.79,-36004.24,-58424.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Terbium,Tb,2.71,-2.94,-3.15,-8.69,-16.72,-30.85,-53.15,-78.25,-99.00,-116.50,-134.00,-155.50,-177.00,-201.00,-233.00,-260.00,-282.00,-309.50,-341.50,-375.50,-409.80,-519.80,-632.00,-670.50,-711.00,-752.00,-794.00,-841.00,-887.50,-931.50,-975.50,-1081.00,-1186.50,-1232.00,-1278.50,-1347.00,-1418.00,-1501.00,-1584.69,-2180.19,-2801.00,-2906.50,-3019.50,-3133.50,-3244.50,-3379.00,-3515.50,-3635.50,-3756.00,-3976.50,-4190.50,-4298.50,-4407.50,-4610.00,-4818.50,-4990.00,-5160.00,-8445.00,-11815.00,-12114.50,-12417.50,-13110.50,-13830.50,-14218.50,-14577.50,-37230.13,-60394.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dysprosium,Dy,2.35,0.07,-3.15,-8.80,-17.24,-32.14,-51.78,-77.54,-101.50,-118.50,-139.50,-161.00,-181.00,-208.00,-241.50,-269.00,-289.50,-316.00,-349.00,-382.50,-415.00,-448.00,-564.50,-683.00,-722.50,-764.50,-806.50,-849.50,-898.00,-946.50,-991.50,-1036.50,-1145.50,-1253.50,-1300.00,-1348.00,-1419.50,-1494.00,-1579.00,-1664.87,-2286.87,-2934.50,-3042.50,-3157.50,-3274.00,-3388.00,-3526.00,-3666.00,-3788.50,-3911.00,-4136.50,-4355.00,-4465.00,-4576.00,-4787.00,-5005.50,-5181.00,-5354.00,-8746.50,-12225.50,-12530.00,-12838.00,-13565.00,-14319.50,-14715.50,-15082.03,-38482.31,-62405.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Holmium,Ho,3.86,-1.54,-3.18,-8.91,-17.32,-32.67,-53.22,-79.47,-103.50,-120.50,-142.00,-164.50,-185.00,-212.50,-246.00,-273.50,-294.50,-322.50,-356.50,-390.50,-424.50,-458.00,-492.50,-612.50,-735.00,-776.00,-819.50,-863.50,-907.00,-957.00,-1007.00,-1053.00,-1099.50,-1211.00,-1323.00,-1370.50,-1419.00,-1494.00,-1571.50,-1658.50,-1746.29,-2395.79,-3071.50,-3181.50,-3298.50,-3417.50,-3534.00,-3676.00,-3820.00,-3944.50,-4070.00,-4300.00,-4522.50,-4634.50,-4747.50,-4968.50,-5196.50,-5376.00,-5552.50,-9053.00,-12642.50,-12953.00,-13266.50,-14028.00,-14818.50,-15223.00,-15596.89,-39759.10,-64454.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Erbium,Er,2.95,0.47,-3.21,-9.02,-17.34,-32.72,-53.90,-80.55,-105.00,-122.50,-144.50,-167.50,-189.00,-218.00,-251.50,-279.00,-300.50,-328.00,-363.00,-398.00,-432.50,-468.00,-503.00,-537.50,-662.50,-790.00,-831.50,-876.00,-921.00,-966.00,-1017.50,-1069.00,-1117.00,-1165.00,-1279.00,-1393.00,-1442.00,-1492.00,-1570.50,-1651.50,-1740.50,-1831.00,-2508.00,-3211.00,-3323.00,-3443.00,-3564.50,-3683.00,-3829.00,-3977.00,-4104.00,-4232.00,-4466.50,-4693.50,-4807.00,-4922.00,-5153.50,-5392.00,-5575.00,-5755.00,-9366.50,-13067.50,-13382.50,-13701.50,-14500.50,-15328.50,-15741.00,-16122.78,-41061.40,-66545.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Thulium,Tm,11.69,1.08,-3.10,-9.12,-17.87,-33.19,-54.07,-81.72,-107.00,-124.50,-146.50,-170.00,-192.50,-222.00,-256.50,-284.50,-306.00,-334.50,-369.50,-405.50,-442.00,-480.00,-515.00,-550.00,-586.50,-714.00,-845.50,-888.50,-934.50,-981.00,-1027.00,-1080.00,-1133.50,-1182.00,-1231.00,-1348.50,-1466.00,-1516.00,-1566.50,-1648.50,-1733.50,-1825.00,-1917.10,-2622.60,-3354.50,-3468.50,-3590.50,-3714.00,-3835.00,-3985.00,-4137.00,-4267.00,-4398.00,-4636.50,-4867.00,-4983.00,-5100.50,-5342.00,-5591.50,-5778.50,-5962.00,-9685.00,-13499.00,-13819.50,-14144.00,-14981.50,-15849.50,-16268.00,-16657.17,-42389.80,-68676.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Ytterbium,Yb,12.57,2.81,-3.13,-9.22,-18.61,-34.31,-54.57,-82.29,-108.00,-126.00,-149.00,-172.50,-195.50,-226.50,-261.50,-290.00,-312.50,-342.00,-378.00,-413.50,-450.00,-487.00,-522.50,-560.00,-600.00,-635.50,-766.50,-903.00,-947.50,-995.00,-1042.00,-1089.50,-1144.50,-1199.50,-1249.50,-1299.50,-1420.00,-1540.00,-1591.00,-1643.00,-1728.50,-1817.00,-1911.50,-2007.20,-2739.70,-3499.00,-3616.00,-3741.00,-3867.00,-3990.00,-4144.50,-4301.00,-4433.00,-4566.00,-4809.00,-5044.50,-5162.50,-5281.50,-5535.00,-5795.50,-5985.50,-6173.50,-10010.00,-13938.50,-14264.00,-14593.50,-15471.50,-16380.50,-16810.00,-17207.72,-43744.24,-70848.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Lutetium,Lu,10.02,2.59,-2.88,-9.66,-17.43,-33.10,-56.03,-82.40,-107.50,-126.50,-147.50,-172.00,-195.00,-221.50,-257.00,-290.50,-316.50,-344.50,-380.00,-418.50,-457.00,-498.00,-540.00,-580.00,-620.00,-655.00,-691.50,-827.00,-963.00,-1008.50,-1056.50,-1105.50,-1154.00,-1210.00,-1267.00,-1318.50,-1370.00,-1493.00,-1616.00,-1668.50,-1721.50,-1811.00,-1904.00,-2000.00,-2096.25,-2857.75,-3648.00,-3767.00,-3894.00,-4023.00,-4148.50,-4307.00,-4467.50,-4602.50,-4738.00,-4985.50,-5225.00,-5345.00,-5466.50,-5731.00,-6003.50,-6198.00,-6389.00,-10340.00,-14385.00,-14716.00,-15050.50,-15970.50,-16925.00,-17365.00,-17769.03,-45125.48,-73063.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hafnium,Hf,8.74,1.79,-3.47,-10.91,-19.15,-28.32,-50.85,-83.19,-108.00,-128.00,-147.50,-172.00,-198.00,-219.50,-250.00,-290.00,-322.00,-346.50,-379.00,-419.50,-460.50,-500.50,-540.00,-585.00,-630.00,-670.00,-710.00,-751.00,-887.00,-1024.50,-1070.50,-1120.00,-1170.50,-1220.00,-1278.00,-1336.50,-1389.50,-1442.00,-1568.00,-1694.00,-1747.50,-1801.50,-1895.00,-1992.50,-2090.50,-2188.95,-2979.95,-3799.50,-3921.00,-4051.00,-4182.00,-4309.00,-4472.50,-4638.00,-4774.50,-4913.00,-5165.00,-5409.00,-5531.50,-5654.00,-5931.00,-6216.50,-6414.50,-6609.50,-10676.00,-14838.50,-15175.00,-15515.50,-16480.00,-17480.00,-17930.00,-18341.16,-46534.13,-75321.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tantalum,Ta,9.13,0.64,-3.94,-11.87,-19.65,-29.05,-41.64,-71.14,-106.51,-129.00,-149.00,-169.50,-196.50,-224.00,-248.50,-283.00,-321.00,-350.50,-379.50,-417.50,-460.50,-506.00,-550.00,-595.00,-640.00,-680.00,-720.00,-765.00,-811.00,-948.00,-1087.00,-1135.00,-1185.50,-1236.50,-1287.50,-1347.50,-1408.00,-1462.00,-1516.00,-1645.00,-1773.50,-1828.00,-1883.50,-1981.50,-2083.00,-2183.50,-2284.35,-3106.70,-3956.35,-4078.50,-4210.50,-4344.00,-4473.50,-4641.00,-4811.00,-4950.50,-5091.50,-5348.00,-5596.00,-5720.00,-5846.00,-6135.50,-6433.00,-6635.50,-6834.50,-11018.50,-15299.00,-15640.50,-15985.00,-16995.00,-18045.00,-18505.00,-18924.26,-47970.27,-77623.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tungsten,W,3.79,2.14,-4.35,-11.98,-21.06,-32.12,-44.90,-58.18,-93.39,-131.61,-150.70,-169.60,-193.95,-220.25,-244.95,-274.50,-308.00,-343.60,-374.90,-404.30,-441.40,-482.35,-523.00,-568.95,-617.55,-663.30,-710.05,-759.25,-808.90,-857.40,-1006.80,-1156.10,-1205.20,-1256.90,-1309.25,-1360.95,-1423.35,-1486.15,-1540.75,-1595.55,-1725.90,-1856.35,-1911.75,-1967.70,-2071.95,-2179.55,-2282.00,-2384.06,-3235.56,-4118.50,-4244.50,-4377.50,-4512.00,-4643.50,-4818.00,-4995.00,-5136.00,-5278.50,-5533.50,-5779.50,-5905.00,-6031.50,-6346.50,-6667.50,-6867.50,-7065.00,-11348.00,-15731.00,-16074.00,-16420.00,-17532.00,-18674.00,-19117.00,-19524.37,-49434.34,-79968.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Rhenium,Re,3.38,0.15,-4.00,-12.22,-21.80,-33.05,-45.50,-59.45,-74.86,-113.56,-154.70,-176.00,-197.50,-222.00,-252.00,-279.50,-310.50,-353.50,-390.00,-416.00,-452.50,-498.00,-545.00,-595.00,-645.00,-695.00,-740.00,-785.00,-835.00,-885.00,-931.50,-1073.50,-1218.00,-1268.00,-1321.50,-1375.50,-1428.00,-1492.00,-1556.50,-1612.00,-1668.50,-1804.00,-1939.00,-1995.50,-2052.50,-2160.00,-2271.00,-2376.00,-2482.27,-3364.27,-4274.50,-4401.50,-4538.50,-4677.00,-4811.00,-4988.00,-5167.50,-5312.00,-5458.00,-5723.50,-5980.50,-6109.00,-6238.00,-6555.00,-6881.00,-7091.00,-7298.00,-11723.00,-16245.00,-16595.00,-16950.00,-18060.00,-19210.00,-19685.00,-20123.70,-50927.15,-82359.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Osmium,Os,7.03,-1.18,-4.76,-12.72,-21.00,-33.00,-48.00,-62.55,-77.60,-93.56,-135.36,-179.35,-201.50,-224.00,-252.00,-284.50,-310.00,-343.50,-388.50,-423.00,-453.00,-495.00,-545.00,-595.00,-645.00,-695.00,-745.00,-795.00,-845.00,-895.00,-945.00,-992.50,-1138.50,-1286.50,-1337.50,-1392.00,-1447.00,-1501.00,-1567.00,-1633.00,-1690.00,-1748.00,-1886.00,-2024.00,-2082.00,-2140.00,-2252.00,-2368.00,-2476.00,-2583.75,-3494.75,-4437.50,-4568.00,-4707.00,-4848.00,-4984.50,-5166.00,-5350.50,-5498.00,-5646.00,-5916.00,-6177.50,-6308.00,-6439.50,-6771.00,-7112.00,-7326.50,-7539.00,-12085.00,-16730.00,-17085.00,-17445.00,-18610.00,-19815.00,-20300.00,-20745.30,-52448.40,-84795.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Iridium,Ir,8.22,0.39,-5.27,-12.98,-22.50,-34.00,-48.50,-64.50,-80.50,-97.00,-114.00,-158.90,-205.90,-228.50,-252.00,-283.50,-316.00,-342.50,-381.50,-426.00,-458.50,-491.00,-535.00,-585.00,-640.00,-695.00,-745.00,-795.00,-845.00,-895.00,-950.00,-1005.00,-1055.00,-1205.50,-1356.00,-1408.50,-1464.50,-1520.50,-1575.50,-1643.50,-1711.50,-1770.00,-1829.00,-1970.00,-2111.00,-2170.00,-2229.50,-2346.50,-2467.50,-2578.00,-2688.20,-3630.20,-4604.00,-4737.00,-4879.00,-5022.00,-5160.50,-5347.50,-5537.50,-5687.00,-5837.50,-6112.50,-6378.00,-6510.50,-6644.00,-6991.00,-7347.50,-7565.50,-7780.00,-12445.00,-17215.00,-17580.00,-17945.00,-19165.00,-20430.00,-20925.00,-21378.30,-53997.75,-87276.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Platinum,Pt,6.96,0.53,-5.54,-13.76,-23.78,-36.00,-49.50,-65.50,-83.00,-100.00,-117.50,-135.45,-182.65,-232.70,-257.00,-281.00,-312.50,-345.00,-375.00,-418.50,-462.00,-493.00,-528.50,-580.00,-635.00,-685.00,-735.00,-790.00,-845.00,-900.00,-955.00,-1010.00,-1065.00,-1115.00,-1271.00,-1428.00,-1481.50,-1538.00,-1595.50,-1652.00,-1721.50,-1792.00,-1852.00,-1912.00,-2056.00,-2199.50,-2259.50,-2320.50,-2443.00,-2569.50,-2682.50,-2794.90,-3771.40,-4777.00,-4909.50,-5054.00,-5199.00,-5340.00,-5532.00,-5727.00,-5879.50,-6032.50,-6311.50,-6581.50,-6716.50,-6852.50,-7215.00,-7586.00,-7810.00,-8030.00,-12820.00,-17715.00,-18085.00,-18455.00,-19735.00,-21060.00,-21560.00,-22022.85,-55580.44,-89807.59,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Gold,Au,8.28,0.40,-5.77,-14.71,-25.10,-37.50,-52.50,-67.00,-84.00,-103.00,-121.05,-139.55,-158.60,-184.10,-237.50,-287.00,-311.50,-344.50,-378.50,-412.50,-460.00,-503.50,-535.00,-575.00,-625.00,-680.00,-735.00,-790.00,-845.00,-900.00,-960.00,-1015.00,-1070.00,-1125.00,-1180.00,-1342.50,-1501.00,-1555.50,-1614.00,-1673.00,-1730.00,-1801.50,-1874.50,-1935.50,-1996.50,-2143.50,-2290.50,-2351.50,-2413.00,-2541.50,-2674.00,-2789.00,-2905.50,-3914.50,-4950.50,-5084.50,-5231.50,-5379.50,-5523.00,-5720.00,-5920.00,-6075.00,-6230.50,-6514.50,-6789.00,-6925.50,-7063.50,-7445.00,-7835.00,-8060.00,-8285.00,-13200.00,-18220.00,-18595.00,-18970.00,-20310.00,-21695.00,-22210.00,-22684.06,-57191.97,-92385.06,,,,,,,,,,,,,,,,,,,,,,,,,
80,Mercury,Hg,9.40,3.13,-5.22,-14.60,-26.48,-41.38,-54.88,-68.90,-84.80,-103.45,-123.95,-143.50,-163.00,-182.85,-234.80,-291.95,-319.50,-344.50,-379.50,-415.50,-453.00,-503.50,-545.00,-575.00,-620.00,-680.00,-735.00,-790.00,-850.00,-905.00,-960.00,-1020.00,-1080.00,-1135.00,-1190.00,-1250.00,-1414.50,-1576.00,-1632.00,-1692.00,-1751.50,-1809.50,-1883.50,-1958.50,-2020.50,-2082.50,-2233.50,-2383.00,-2445.00,-2508.50,-2642.00,-2780.00,-2898.00,-3015.45,-4052.45,-5123.00,-5263.00,-5412.50,-5563.00,-5708.00,-5910.50,-6116.50,-6274.00,-6432.00,-6720.50,-6999.50,-7138.50,-7280.50,-7675.00,-8080.00,-8315.00,-8545.00,-13585.00,-18730.00,-19110.00,-19495.00,-20900.00,-22350.00,-22875.00,-23357.05,-58834.40,-95011.20,,,,,,,,,,,,,,,,,,,,,,,,
81,Thallium,Tl,21.29,2.00,-3.24,-13.27,-25.13,-40.49,-56.87,-71.30,-89.00,-107.00,-125.50,-146.50,-167.50,-187.50,-208.15,-262.60,-323.45,-353.00,-379.00,-415.50,-453.00,-493.50,-545.00,-585.00,-620.00,-670.00,-730.00,-790.00,-850.00,-905.00,-960.00,-1025.00,-1085.00,-1140.00,-1200.00,-1260.00,-1320.00,-1487.50,-1653.00,-1710.50,-1771.00,-1832.00,-1891.00,-1967.00,-2044.50,-2107.50,-2171.00,-2324.50,-2477.50,-2541.00,-2604.50,-2744.50,-2889.50,-3009.50,-3129.35,-4199.35,-5302.50,-5444.50,-5596.00,-5749.00,-5896.50,-6105.00,-6316.50,-6476.00,-6637.00,-6930.00,-7213.50,-7355.50,-7495.00,-7910.00,-8340.00,-8575.00,-8805.00,-13975.00,-19255.00,-19640.00,-20025.00,-21495.00,-23020.00,-23555.00,-24042.05,-60508.65,-97687.40,,,,,,,,,,,,,,,,,,,,,,,
82,Lead,Pb,9.53,4.22,-3.88,-11.22,-23.48,-37.13,-55.56,-75.85,-91.50,-110.05,-129.00,-148.00,-170.00,-192.50,-213.50,-234.55,-291.60,-356.05,-387.50,-414.50,-453.00,-492.50,-538.50,-590.00,-630.00,-670.00,-720.00,-780.00,-840.00,-900.00,-960.00,-1020.00,-1085.00,-1150.00,-1210.00,-1270.00,-1330.00,-1395.00,-1567.00,-1732.00,-1789.50,-1851.50,-1914.50,-1974.50,-2052.50,-2132.00,-2196.50,-2261.00,-2417.50,-2574.00,-2638.00,-2703.00,-2850.00,-3000.50,-3123.50,-3246.55,-4348.05,-5484.50,-5629.00,-5782.50,-5938.50,-6087.50,-6301.00,-6519.50,-6682.00,-6845.50,-7143.00,-7431.00,-7575.00,-7720.00,-8155.00,-8600.00,-8840.00,-9075.00,-14370.00,-19780.00,-20175.00,-20565.00,-22105.00,-23700.00,-24245.00,-24744.00,-62214.93,-100414.13,,,,,,,,,,,,,,,,,,,,,,
83,Bismuth,Bi,17.99,0.74,-4.12,-11.99,-21.13,-35.43,-50.65,-72.15,-95.65,-112.50,-132.50,-152.05,-172.05,-195.50,-218.50,-240.50,-262.30,-321.40,-389.60,-422.50,-450.00,-492.00,-535.00,-585.00,-640.00,-675.00,-720.00,-780.00,-840.00,-900.00,-960.00,-1025.00,-1090.00,-1150.00,-1215.00,-1280.00,-1345.00,-1410.00,-1470.00,-1642.00,-1812.00,-1871.00,-1934.50,-1998.00,-2059.50,-2140.00,-2221.50,-2287.00,-2353.00,-2513.00,-2672.00,-2737.00,-2803.00,-2956.50,-3114.50,-3240.00,-3365.40,-4500.40,-5669.50,-5816.00,-5973.00,-6131.00,-6283.00,-6503.00,-6726.00,-6890.50,-7057.00,-7358.50,-7650.00,-7795.00,-7940.00,-8395.00,-8865.00,-9110.00,-9350.00,-14780.00,-20315.00,-20710.00,-21110.00,-22725.00,-24395.00,-24950.00,-25458.45,-63954.33,-103192.28,,,,,,,,,,,,,,,,,,,,,
